# Total Phase Data Center(tm) v8.10,,,,,,,,,
# (c) 2005-2026 Total Phase, Inc.,,,,,,,,
# www.totalphase.com,,,,,,,,,
#,,,,,,,,,
# ,,,,,,,,,
#,,,,,,,,,
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,Description
0,101,5:04.598.950,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,102,5:04.600.863,88.500 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,103,5:04.600.951,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,104,5:04.602.862,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,105,5:04.602.951,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,106,5:04.604.863,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,107,5:04.604.951,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,108,5:04.606.863,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,109,5:04.606.951,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,110,5:04.608.863,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,111,5:04.608.952,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,112,5:04.610.863,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,113,5:04.610.951,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,114,5:04.612.864,88.350 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
